2023-03-16 22:19:40.480 [main] INFO  org.calculator.Calculate - [RESULT - POWER] - 8.0
2023-03-16 22:19:40.480 [main] INFO  org.calculator.Calculate - [POWER - 1.0 RAISED TO] 3.0
2023-03-16 22:19:40.480 [main] INFO  org.calculator.Calculate - [RESULT - POWER] - 1.0
2023-03-16 22:19:40.480 [main] INFO  org.calculator.Calculate - [POWER - 3.0 RAISED TO] 4.0
2023-03-16 22:19:40.481 [main] INFO  org.calculator.Calculate - [RESULT - POWER] - 81.0
2023-03-16 22:19:40.481 [main] INFO  org.calculator.Calculate - [POWER - 4.0 RAISED TO] 3.0
2023-03-16 22:19:40.481 [main] INFO  org.calculator.Calculate - [RESULT - POWER] - 64.0
2023-03-16 22:19:40.482 [main] INFO  org.calculator.Calculate - [POWER - 5.0 RAISED TO] 2.0
2023-03-16 22:19:40.482 [main] INFO  org.calculator.Calculate - [RESULT - POWER] - 25.0
2023-03-16 22:19:40.482 [main] INFO  org.calculator.Calculate - [NATURAL LOG] - 2.4
2023-03-16 22:19:40.483 [main] INFO  org.calculator.Calculate - [RESULT - NATURAL LOG] - 0.8754687373538999
2023-03-16 22:19:40.483 [main] INFO  org.calculator.Calculate - [NATURAL LOG] - 2.1
2023-03-16 22:19:40.483 [main] INFO  org.calculator.Calculate - [RESULT - NATURAL LOG] - 0.7419373447293773
2023-03-16 22:20:31.258 [main] INFO  org.calculator.Calculate - [SQ ROOT] - 16.0
2023-03-16 22:20:31.260 [main] INFO  org.calculator.Calculate - [RESULT - SQ ROOT] - 4.0
2023-03-16 22:20:31.260 [main] INFO  org.calculator.Calculate - [SQ ROOT] - 1.0
2023-03-16 22:20:31.261 [main] INFO  org.calculator.Calculate - [RESULT - SQ ROOT] - 1.0
2023-03-16 22:20:31.261 [main] INFO  org.calculator.Calculate - [SQ ROOT] - 81.0
2023-03-16 22:20:31.261 [main] INFO  org.calculator.Calculate - [RESULT - SQ ROOT] - 9.0
2023-03-16 22:20:31.261 [main] INFO  org.calculator.Calculate - [SQ ROOT] - 36.0
2023-03-16 22:20:31.262 [main] INFO  org.calculator.Calculate - [RESULT - SQ ROOT] - 6.0
2023-03-16 22:20:31.262 [main] INFO  org.calculator.Calculate - [SQ ROOT] - 3.0
2023-03-16 22:20:31.262 [main] INFO  org.calculator.Calculate - [RESULT - SQ ROOT] - 1.7320508075688772
2023-03-16 22:20:31.263 [main] INFO  org.calculator.Calculate - [SQ ROOT] - 4.0
2023-03-16 22:20:31.263 [main] INFO  org.calculator.Calculate - [RESULT - SQ ROOT] - 2.0
2023-03-16 22:20:31.263 [main] INFO  org.calculator.Calculate - [SQ ROOT] - 81.0
2023-03-16 22:20:31.263 [main] INFO  org.calculator.Calculate - [RESULT - SQ ROOT] - 9.0
2023-03-16 22:20:31.263 [main] INFO  org.calculator.Calculate - [SQ ROOT] - 36.0
2023-03-16 22:20:31.264 [main] INFO  org.calculator.Calculate - [RESULT - SQ ROOT] - 6.0
2023-03-16 22:20:31.264 [main] INFO  org.calculator.Calculate - [NATURAL LOG] - 1.0
2023-03-16 22:20:31.265 [main] INFO  org.calculator.Calculate - [RESULT - NATURAL LOG] - 0.0
2023-03-16 22:20:31.271 [main] INFO  org.calculator.Calculate - [POWER - 2.0 RAISED TO] 3.0
2023-03-16 22:20:31.271 [main] INFO  org.calculator.Calculate - [RESULT - POWER] - 8.0
2023-03-16 22:20:31.272 [main] INFO  org.calculator.Calculate - [POWER - 3.0 RAISED TO] 3.0
2023-03-16 22:20:31.272 [main] INFO  org.calculator.Calculate - [RESULT - POWER] - 27.0
2023-03-16 22:20:31.272 [main] INFO  org.calculator.Calculate - [POWER - 4.0 RAISED TO] 3.0
2023-03-16 22:20:31.272 [main] INFO  org.calculator.Calculate - [RESULT - POWER] - 64.0
2023-03-16 22:20:31.272 [main] INFO  org.calculator.Calculate - [POWER - 5.0 RAISED TO] 3.0
2023-03-16 22:20:31.273 [main] INFO  org.calculator.Calculate - [RESULT - POWER] - 125.0
2023-03-16 22:20:31.273 [main] INFO  org.calculator.Calculate - [POWER - 2.0 RAISED TO] 3.0
2023-03-16 22:20:31.273 [main] INFO  org.calculator.Calculate - [RESULT - POWER] - 8.0
2023-03-16 22:20:31.273 [main] INFO  org.calculator.Calculate - [POWER - 1.0 RAISED TO] 3.0
2023-03-16 22:20:31.274 [main] INFO  org.calculator.Calculate - [RESULT - POWER] - 1.0
2023-03-16 22:20:31.274 [main] INFO  org.calculator.Calculate - [POWER - 3.0 RAISED TO] 4.0
2023-03-16 22:20:31.274 [main] INFO  org.calculator.Calculate - [RESULT - POWER] - 81.0
2023-03-16 22:20:31.274 [main] INFO  org.calculator.Calculate - [POWER - 4.0 RAISED TO] 3.0
2023-03-16 22:20:31.275 [main] INFO  org.calculator.Calculate - [RESULT - POWER] - 64.0
2023-03-16 22:20:31.275 [main] INFO  org.calculator.Calculate - [POWER - 5.0 RAISED TO] 2.0
2023-03-16 22:20:31.275 [main] INFO  org.calculator.Calculate - [RESULT - POWER] - 25.0
2023-03-16 22:20:31.275 [main] INFO  org.calculator.Calculate - [NATURAL LOG] - 2.4
2023-03-16 22:20:31.276 [main] INFO  org.calculator.Calculate - [RESULT - NATURAL LOG] - 0.8754687373538999
2023-03-16 22:20:31.276 [main] INFO  org.calculator.Calculate - [NATURAL LOG] - 2.1
2023-03-16 22:20:31.276 [main] INFO  org.calculator.Calculate - [RESULT - NATURAL LOG] - 0.7419373447293773
2023-03-16 22:21:03.283 [main] INFO  org.calculator.Calculate - [SQ ROOT] - 16.0
2023-03-16 22:21:03.285 [main] INFO  org.calculator.Calculate - [RESULT - SQ ROOT] - 4.0
2023-03-16 22:21:03.285 [main] INFO  org.calculator.Calculate - [SQ ROOT] - 1.0
2023-03-16 22:21:03.286 [main] INFO  org.calculator.Calculate - [RESULT - SQ ROOT] - 1.0
2023-03-16 22:21:03.286 [main] INFO  org.calculator.Calculate - [SQ ROOT] - 81.0
2023-03-16 22:21:03.286 [main] INFO  org.calculator.Calculate - [RESULT - SQ ROOT] - 9.0
2023-03-16 22:21:03.286 [main] INFO  org.calculator.Calculate - [SQ ROOT] - 36.0
2023-03-16 22:21:03.287 [main] INFO  org.calculator.Calculate - [RESULT - SQ ROOT] - 6.0
2023-03-16 22:21:03.287 [main] INFO  org.calculator.Calculate - [SQ ROOT] - 3.0
2023-03-16 22:21:03.287 [main] INFO  org.calculator.Calculate - [RESULT - SQ ROOT] - 1.7320508075688772
2023-03-16 22:21:03.288 [main] INFO  org.calculator.Calculate - [SQ ROOT] - 4.0
2023-03-16 22:21:03.288 [main] INFO  org.calculator.Calculate - [RESULT - SQ ROOT] - 2.0
2023-03-16 22:21:03.288 [main] INFO  org.calculator.Calculate - [SQ ROOT] - 81.0
2023-03-16 22:21:03.289 [main] INFO  org.calculator.Calculate - [RESULT - SQ ROOT] - 9.0
2023-03-16 22:21:03.289 [main] INFO  org.calculator.Calculate - [SQ ROOT] - 36.0
2023-03-16 22:21:03.289 [main] INFO  org.calculator.Calculate - [RESULT - SQ ROOT] - 6.0
2023-03-16 22:21:03.290 [main] INFO  org.calculator.Calculate - [NATURAL LOG] - 1.0
2023-03-16 22:21:03.291 [main] INFO  org.calculator.Calculate - [RESULT - NATURAL LOG] - 0.0
2023-03-16 22:21:03.300 [main] INFO  org.calculator.Calculate - [POWER - 2.0 RAISED TO] 3.0
2023-03-16 22:21:03.300 [main] INFO  org.calculator.Calculate - [RESULT - POWER] - 8.0
2023-03-16 22:21:03.301 [main] INFO  org.calculator.Calculate - [POWER - 3.0 RAISED TO] 3.0
2023-03-16 22:21:03.301 [main] INFO  org.calculator.Calculate - [RESULT - POWER] - 27.0
2023-03-16 22:21:03.301 [main] INFO  org.calculator.Calculate - [POWER - 4.0 RAISED TO] 3.0
2023-03-16 22:21:03.301 [main] INFO  org.calculator.Calculate - [RESULT - POWER] - 64.0
2023-03-16 22:21:03.302 [main] INFO  org.calculator.Calculate - [POWER - 5.0 RAISED TO] 3.0
2023-03-16 22:21:03.302 [main] INFO  org.calculator.Calculate - [RESULT - POWER] - 125.0
2023-03-16 22:21:03.302 [main] INFO  org.calculator.Calculate - [POWER - 2.0 RAISED TO] 3.0
2023-03-16 22:21:03.303 [main] INFO  org.calculator.Calculate - [RESULT - POWER] - 8.0
2023-03-16 22:21:03.303 [main] INFO  org.calculator.Calculate - [POWER - 1.0 RAISED TO] 3.0
2023-03-16 22:21:03.303 [main] INFO  org.calculator.Calculate - [RESULT - POWER] - 1.0
2023-03-16 22:21:03.303 [main] INFO  org.calculator.Calculate - [POWER - 3.0 RAISED TO] 4.0
2023-03-16 22:21:03.304 [main] INFO  org.calculator.Calculate - [RESULT - POWER] - 81.0
2023-03-16 22:21:03.304 [main] INFO  org.calculator.Calculate - [POWER - 4.0 RAISED TO] 3.0
2023-03-16 22:21:03.304 [main] INFO  org.calculator.Calculate - [RESULT - POWER] - 64.0
2023-03-16 22:21:03.304 [main] INFO  org.calculator.Calculate - [POWER - 5.0 RAISED TO] 2.0
2023-03-16 22:21:03.305 [main] INFO  org.calculator.Calculate - [RESULT - POWER] - 25.0
2023-03-16 22:21:03.305 [main] INFO  org.calculator.Calculate - [NATURAL LOG] - 2.4
2023-03-16 22:21:03.305 [main] INFO  org.calculator.Calculate - [RESULT - NATURAL LOG] - 0.8754687373538999
2023-03-16 22:21:03.306 [main] INFO  org.calculator.Calculate - [NATURAL LOG] - 2.1
2023-03-16 22:21:03.306 [main] INFO  org.calculator.Calculate - [RESULT - NATURAL LOG] - 0.7419373447293773
2023-03-16 22:24:04.558 [main] INFO  org.calculator.Calculate - [SQ ROOT] - 16.0
2023-03-16 22:24:04.560 [main] INFO  org.calculator.Calculate - [RESULT - SQ ROOT] - 4.0
2023-03-16 22:24:04.560 [main] INFO  org.calculator.Calculate - [SQ ROOT] - 1.0
2023-03-16 22:24:04.560 [main] INFO  org.calculator.Calculate - [RESULT - SQ ROOT] - 1.0
2023-03-16 22:24:04.560 [main] INFO  org.calculator.Calculate - [SQ ROOT] - 81.0
2023-03-16 22:24:04.561 [main] INFO  org.calculator.Calculate - [RESULT - SQ ROOT] - 9.0
2023-03-16 22:24:04.561 [main] INFO  org.calculator.Calculate - [SQ ROOT] - 36.0
2023-03-16 22:24:04.561 [main] INFO  org.calculator.Calculate - [RESULT - SQ ROOT] - 6.0
2023-03-16 22:24:04.562 [main] INFO  org.calculator.Calculate - [SQ ROOT] - 3.0
2023-03-16 22:24:04.562 [main] INFO  org.calculator.Calculate - [RESULT - SQ ROOT] - 1.7320508075688772
2023-03-16 22:24:04.563 [main] INFO  org.calculator.Calculate - [SQ ROOT] - 4.0
2023-03-16 22:24:04.563 [main] INFO  org.calculator.Calculate - [RESULT - SQ ROOT] - 2.0
2023-03-16 22:24:04.563 [main] INFO  org.calculator.Calculate - [SQ ROOT] - 81.0
2023-03-16 22:24:04.563 [main] INFO  org.calculator.Calculate - [RESULT - SQ ROOT] - 9.0
2023-03-16 22:24:04.564 [main] INFO  org.calculator.Calculate - [SQ ROOT] - 36.0
2023-03-16 22:24:04.564 [main] INFO  org.calculator.Calculate - [RESULT - SQ ROOT] - 6.0
2023-03-16 22:24:04.565 [main] INFO  org.calculator.Calculate - [NATURAL LOG] - 1.0
2023-03-16 22:24:04.566 [main] INFO  org.calculator.Calculate - [RESULT - NATURAL LOG] - 0.0
2023-03-16 22:24:04.574 [main] INFO  org.calculator.Calculate - [POWER - 2.0 RAISED TO] 3.0
2023-03-16 22:24:04.575 [main] INFO  org.calculator.Calculate - [RESULT - POWER] - 8.0
2023-03-16 22:24:04.576 [main] INFO  org.calculator.Calculate - [POWER - 3.0 RAISED TO] 3.0
2023-03-16 22:24:04.576 [main] INFO  org.calculator.Calculate - [RESULT - POWER] - 27.0
2023-03-16 22:24:04.576 [main] INFO  org.calculator.Calculate - [POWER - 4.0 RAISED TO] 3.0
2023-03-16 22:24:04.576 [main] INFO  org.calculator.Calculate - [RESULT - POWER] - 64.0
2023-03-16 22:24:04.577 [main] INFO  org.calculator.Calculate - [POWER - 5.0 RAISED TO] 3.0
2023-03-16 22:24:04.577 [main] INFO  org.calculator.Calculate - [RESULT - POWER] - 125.0
2023-03-16 22:24:04.578 [main] INFO  org.calculator.Calculate - [POWER - 2.0 RAISED TO] 3.0
2023-03-16 22:24:04.578 [main] INFO  org.calculator.Calculate - [RESULT - POWER] - 8.0
2023-03-16 22:24:04.578 [main] INFO  org.calculator.Calculate - [POWER - 1.0 RAISED TO] 3.0
2023-03-16 22:24:04.579 [main] INFO  org.calculator.Calculate - [RESULT - POWER] - 1.0
2023-03-16 22:24:04.579 [main] INFO  org.calculator.Calculate - [POWER - 3.0 RAISED TO] 4.0
2023-03-16 22:24:04.579 [main] INFO  org.calculator.Calculate - [RESULT - POWER] - 81.0
2023-03-16 22:24:04.579 [main] INFO  org.calculator.Calculate - [POWER - 4.0 RAISED TO] 3.0
2023-03-16 22:24:04.580 [main] INFO  org.calculator.Calculate - [RESULT - POWER] - 64.0
2023-03-16 22:24:04.580 [main] INFO  org.calculator.Calculate - [POWER - 5.0 RAISED TO] 2.0
2023-03-16 22:24:04.580 [main] INFO  org.calculator.Calculate - [RESULT - POWER] - 25.0
2023-03-16 22:24:04.581 [main] INFO  org.calculator.Calculate - [NATURAL LOG] - 2.4
2023-03-16 22:24:04.581 [main] INFO  org.calculator.Calculate - [RESULT - NATURAL LOG] - 0.8754687373538999
2023-03-16 22:24:04.582 [main] INFO  org.calculator.Calculate - [NATURAL LOG] - 2.1
2023-03-16 22:24:04.582 [main] INFO  org.calculator.Calculate - [RESULT - NATURAL LOG] - 0.7419373447293773
2023-03-16 22:25:34.384 [main] INFO  org.calculator.Calculate - [SQ ROOT] - 16.0
2023-03-16 22:25:34.387 [main] INFO  org.calculator.Calculate - [RESULT - SQ ROOT] - 4.0
2023-03-16 22:25:34.387 [main] INFO  org.calculator.Calculate - [SQ ROOT] - 1.0
2023-03-16 22:25:34.388 [main] INFO  org.calculator.Calculate - [RESULT - SQ ROOT] - 1.0
2023-03-16 22:25:34.388 [main] INFO  org.calculator.Calculate - [SQ ROOT] - 81.0
2023-03-16 22:25:34.388 [main] INFO  org.calculator.Calculate - [RESULT - SQ ROOT] - 9.0
2023-03-16 22:25:34.388 [main] INFO  org.calculator.Calculate - [SQ ROOT] - 36.0
2023-03-16 22:25:34.389 [main] INFO  org.calculator.Calculate - [RESULT - SQ ROOT] - 6.0
2023-03-16 22:25:34.389 [main] INFO  org.calculator.Calculate - [SQ ROOT] - 3.0
2023-03-16 22:25:34.390 [main] INFO  org.calculator.Calculate - [RESULT - SQ ROOT] - 1.7320508075688772
2023-03-16 22:25:34.390 [main] INFO  org.calculator.Calculate - [SQ ROOT] - 4.0
2023-03-16 22:25:34.390 [main] INFO  org.calculator.Calculate - [RESULT - SQ ROOT] - 2.0
2023-03-16 22:25:34.390 [main] INFO  org.calculator.Calculate - [SQ ROOT] - 81.0
2023-03-16 22:25:34.391 [main] INFO  org.calculator.Calculate - [RESULT - SQ ROOT] - 9.0
2023-03-16 22:25:34.391 [main] INFO  org.calculator.Calculate - [SQ ROOT] - 36.0
2023-03-16 22:25:34.391 [main] INFO  org.calculator.Calculate - [RESULT - SQ ROOT] - 6.0
2023-03-16 22:25:34.392 [main] INFO  org.calculator.Calculate - [NATURAL LOG] - 1.0
2023-03-16 22:25:34.393 [main] INFO  org.calculator.Calculate - [RESULT - NATURAL LOG] - 0.0
2023-03-16 22:25:34.400 [main] INFO  org.calculator.Calculate - [POWER - 2.0 RAISED TO] 3.0
2023-03-16 22:25:34.400 [main] INFO  org.calculator.Calculate - [RESULT - POWER] - 8.0
2023-03-16 22:25:34.401 [main] INFO  org.calculator.Calculate - [POWER - 3.0 RAISED TO] 3.0
2023-03-16 22:25:34.401 [main] INFO  org.calculator.Calculate - [RESULT - POWER] - 27.0
2023-03-16 22:25:34.401 [main] INFO  org.calculator.Calculate - [POWER - 4.0 RAISED TO] 3.0
